P89 M,P89 P,P93 M,P93 P,CP01 M,CP01 P,CH03 M,CH03 P,P07 M,P07 P,W04 M,W04 P,P10 M,P10 P,S21 M,S21 P
-2.346,-1.098553485,-2.233,-3.361293586,-1.631,-0.688570318,-3.881,-3.787107721,-0.281,-0.436668932,-3.913,-3.62860229,-3.878,-3.246013439,,
-2.505,-1.264834062,-0.222,-1.527932186,-1.543,-0.600570318,-3.262,-3.445650843,-1.134,-1.309091956,-3.997,-3.712515012,-3.711,-3.090569568,,
-2.665,-1.424834062,0.031,-1.274932186,-1.656,-0.724006549,-3.857,-3.789241914,-1.408,-1.581229744,-3.692,-3.40760229,-3.919,-3.287013439,,
-2.43,-1.195644418,-2.364,-3.534321449,-1.544,-0.641818793,-3.858,-3.781913921,-2.408,-2.591472853,-3.85,-3.565690654,-3.715,-3.094569568,,
-2.461,-1.234362181,0.39,-0.947063437,-1.387,-0.500067728,-3.224,-3.440194567,-0.899,-1.103841221,-3.818,-3.534243991,-3.85,-3.221373655,,
-2.469,-1.242362181,-0.395,-1.50351511,-0.999,-0.127543232,-3.856,-3.779913921,-2.275,-2.509594899,-3.963,-3.678515012,-3.848,-3.219373655,,
-2.603,-1.38433087,-0.911,-2.103024131,-1.318,-0.457565502,-3.856,-3.797457708,-1.578,-1.826705728,-3.844,-3.559690654,-4.042,-3.41453728,,
-2.415,-1.19633087,-0.353,-1.519424131,-1.056,-0.235022234,-3.888,-3.829457708,-0.295,-0.564937941,-3.48,-3.196243991,-3.724,-3.108312921,,
-2.56,-1.349550544,0.705,-0.663196897,-1.084,-0.253641236,-4.264,-4.196788398,-0.56,-0.865533245,-3.852,-3.567343687,-3.731,-3.10353728,,
-2.402,-1.198033448,0.999,-0.400328744,-1.217,-0.386641236,-3.807,-3.739788398,-0.521,-0.856107184,-3.921,-3.636870663,-3.912,-3.283373655,,
-2.369,-1.165033448,-1.262,-2.532097143,-1.134,-0.317676121,-3.856,-3.805818041,-1.968,-2.333299589,-4.07,-3.785343687,-3.769,-3.14153728,,
-2.37,-1.166033448,-2.175,-2.760102026,-0.796,0.048601742,-3.884,-3.833818041,-2.357,-2.746218175,-3.914,-3.629870663,-3.495,-2.86753728,,
